iter	Passed	Remaining
855	36354	6115
856	36402	6074
857	36444	6031
858	36477	5987
859	36519	5945
860	36560	5902
861	36600	5859
862	36639	5816
863	36683	5774
864	36721	5731
865	36760	5688
866	36795	5644
867	36834	5601
868	36877	5559
869	36920	5516
870	36960	5474
871	36997	5430
872	37036	5387
873	37079	5345
874	37119	5302
875	37170	5261
876	37210	5218
877	37255	5176
878	37293	5133
879	37338	5091
880	37380	5049
881	37422	5006
882	37467	4964
883	37511	4922
884	37561	4880
885	37604	4838
886	37648	4796
887	37690	4753
888	37734	4711
889	37780	4669
890	37825	4627
891	37865	4584
892	37901	4541
893	37941	4498
894	37980	4455
895	38023	4413
896	38063	4370
897	38103	4328
898	38145	4285
899	38182	4242
900	38222	4199
901	38260	4156
902	38303	4114
903	38342	4071
904	38384	4029
905	38427	3986
906	38467	3944
907	38509	3901
908	38548	3859
909	38580	3815
910	38623	3773
911	38667	3731
912	38711	3688
913	38750	3646
914	38792	3603
915	38832	3561
916	38878	3518
917	38921	3476
918	38960	3433
919	38998	3391
920	39033	3348
921	39074	3305
922	39116	3263
923	39158	3220
924	39206	3178
925	39243	3136
926	39287	3093
927	39323	3050
928	39366	3008
929	39408	2966
930	39452	2923
931	39489	2881
932	39530	2838
933	39574	2796
934	39620	2754
935	39656	2711
936	39694	2668
937	39736	2626
938	39783	2584
939	39828	2542
940	39872	2499
941	39916	2457
942	39957	2415
943	39999	2372
944	40047	2330
945	40086	2288
946	40131	2246
947	40175	2203
948	40216	2161
949	40256	2118
950	40295	2076
951	40330	2033
952	40366	1990
953	40406	1948
954	40444	1905
955	40486	1863
956	40524	1820
957	40565	1778
958	40610	1736
959	40645	1693
960	40687	1651
961	40730	1608
962	40770	1566
963	40811	1524
964	40852	1481
965	40888	1439
966	40936	1397
967	40982	1354
968	41024	1312
969	41067	1270
970	41108	1227
971	41145	1185
972	41186	1142
973	41228	1100
974	41269	1058
975	41311	1015
976	41353	973
977	41394	931
978	41437	888
979	41478	846
980	41522	804
981	41564	761
982	41605	719
983	41648	677
984	41688	634
985	41730	592
986	41770	550
987	41813	507
988	41857	465
989	41897	423
990	41933	380
991	41973	338
992	42013	296
993	42053	253
994	42100	211
995	42147	169
996	42197	126
997	42235	84
998	42275	42
999	42316	0
